,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CATEGORIES,,,,,,,,,,,,,,,,,,,,,,,,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price,,Parametr,Value ,Coef,Price
,,M!,pcx-white-160-2022-A,✔," PCX 160cc, White, 2022",350,2 200,4 200,6 000,7 000,330,2 000,3 700,5 200,6 000,300,1 800,3 300,4 800,5 500,,M!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,M!,pcx-black-160-2022-A,✔," PCX 160cc, ABS, Black, 2022",350,2 200,4 200,6 000,7 000,330,2 000,3 700,5 200,6 000,300,1 800,3 300,4 800,5 500,,M!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,M!,pcx-black-160-2023-A,✔," PCX 160cc, ABS, Black, 2023",370,2 400,4 400,6 300,7 500,350,2 200,4 200,5 600,6 500,330,2 000,3 600,4 900,5 700,,M!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,M!,adv-black-160-2023-A,✔," ADV 160cc, ABS, Black, 2023",370,2 400,4 400,6 300,7 500,350,2 200,4 200,5 600,6 500,330,2 000,3 600,4 900,5 700,,M!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,M!,pcx-blue-160-2024-A,✔," PCX 160cc, ABS, Blue, 2024",370,2 500,4 800,6 800,7 900,370,2 400,4 500,6 000,6 900,330,2 200,3 800,5 500,6 300,,M!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,M!,adv-red-160-2024-A,✔," ADV 160cc, ABS, Red, 2024",450,2 800,4 900,6 900,8 000,370,2 500,4 800,6 100,7 000,350,2 400,4 000,5 600,6 500,,M!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,M!,,✔,,,,,,,,,,,,,,,,,,M!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,B!,forza-black-350-2023-A,✔," Forza 350cc, ABS, Black, 2023",850,5 500,10 000,14 500,16 500,750,5 250,9 000,13 000,15 000,700,4 900,8 000,11 500,13 500,,B!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,B!,xmax-black-300-2024-A,✔," Xmax 300cc, ABS, Black, 2024",900,6 000,11 200,15 500,18 000,800,5 600,10 000,14 400,16 500,750,5 000,9 000,12 000,14 000,,B!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,B!,adv-black-350-2025-A,✔,"ADV 350cc, ABS, Black, 2025",1 000,6 700,12 500,16 400,19 500,900,6 300,11 900,15 600,18 000,800,5 000,9 000,14 000,16 500,,B!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,B!,,✔,,,,,,,,,,,,,,,,,,B!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,C!,mazda-2-black-1300-2020-A,✔,"Mazda 2, 1.3, Black, 2020",1 200,8 000,14 500,18 900,24 000,1 000,7 000,12 600,16 800,20 000,1 000,6 000,10 000,15 000,17 000,,C!,,✔,"Toyota Corolla 1.6, Silver, 2012",900,5 000,9 500,14 000,16 000,800,4 800,8 500,12 000,14 000,700,4 500,7 500,10 500,12 500,,,,,,,,,
,,C!,honda-hrv-1800-2020-A,✔,"Honda HR-V, 1.8, Red, 2020",1 800,10 000,15 600,21 600,27 000,1 700,8 000,13 500,18 800,24 000,1 400,7 000,12 000,16 500,21 500,,C!,,✔,"Mitsubishi Xpander 1.5, Silver, 2021",1 500,8 000,14 000,20 000,24 000,1 200,7 500,12 500,18 000,22 000,1 100,6 500,12 000,16 000,20 000,,,,,,,,,
,,C!,honda-hrv-1500-ev-2023-A,✔,"Honda HR-V, 1.5, Red, 2023",2 200,13 500,22 000,31 000,40 000,2 000,10 500,19 200,27 000,37 000,1 700,9 000,16 500,23 500,31 000,,C!,,✔,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
